city, code
Cancún, CUN
Santiago de Cuba, SCU
Mérida, MID
Port-au-Prince, PAP
Grand Cayman, GCM
Baracoa, BCA
Stamford, JFK
Zhukovskiy, ZIA
Zürich, ZRH
Fort-de-France Bay, FDF
Düsseldorf, DUS
Port of Spain, POS
Balboa, LAX
Saint Petersburg, LED
Quebec City, YQB
Aruba, AUA
Cayo Coco, CCC
